2024-11-20 08:14:12,835 - INFO - Started Telegram Scraping Process.
2024-11-20 08:14:14,337 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2024-11-20 08:14:16,576 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:14,859 - INFO - Phone migrated to 4
2024-11-20 08:15:14,965 - INFO - Reconnecting to new data center 4
2024-11-20 08:15:15,737 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2024-11-20 08:15:15,738 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2024-11-20 08:15:15,739 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2024-11-20 08:15:18,301 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2024-11-20 08:15:33,622 - INFO - Successfully connected to Telegram.
2024-11-20 08:16:18,179 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:18,315 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:18,427 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:18,553 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:18,660 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:18,771 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:18,894 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:19,013 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:20,324 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:20,438 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:20,545 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:20,658 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:20,783 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:20,898 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:21,005 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:21,118 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:21,230 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:21,338 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:21,554 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:21,676 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:21,939 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:22,201 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:22,314 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:22,423 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:22,539 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:22,678 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:22,937 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:23,652 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:23,806 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:23,934 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:24,055 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:24,357 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:24,516 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:24,894 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:25,162 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2024-11-20 08:16:25,567 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
